ID,TurnaroundTime,WaitingTime,ResponseTime
1,390,2,301
0,643,343,443
2,573,563,573
3,480,350,380
4,565,455,465
5,607,527,576
6,1490,550,629
7,1930,1430,1930
9,2715,1605,1614
8,2837,2707,2806
10,3030,2820,2940
11,3069,2869,3069
12,3128,2798,2828
13,3916,3106,3205
14,3990,3900,3990
15,4291,3781,4280
17,4368,4238,4248
16,4983,4333,4832
18,5412,4882,5381
19,5348,5258,5268
TotalTime,7432
Throughput,"0,0026910657"
AvgTurnaroundTime,"2688,25"
AvgWaitTime,"2325,85"
AvgResponseTime,"2487,90"
