ID,TurnaroundTime,WaitingTime,ResponseTime
0,60,1,51
6,69,39,69
3,675,585,675
2,766,666,766
9,73,53,63
11,116,106,116
10,215,115,215
18,102,72,102
20,96,86,96
22,52,2,52
23,688,418,175
34,362,252,362
43,806,676,33
49,255,155,255
28,2650,2330,261
47,893,583,893
48,1130,1020,17
12,4910,4630,320
32,2944,2704,345
33,2915,2665,1431
13,5569,5189,57
16,5817,5467,55
14,6011,5881,18
37,4332,3842,2770
19,6768,6558,26
8,8366,8026,16
5,8766,8566,8766
25,7047,6707,158
1,10263,9383,300
30,7615,7045,7615
45,6809,6429,6809
35,8095,7785,69
38,8381,7751,66
31,9455,8745,9455
7,12279,11359,12279
46,8704,7784,2438
40,10280,9610,164
4,14389,13549,334
15,13611,12911,13611
17,13896,13016,228
44,11882,11302,257
27,14075,13235,92
24,14606,14106,14606
29,14893,14293,14893
39,14293,13363,1540
36,15115,14315,4107
26,16572,15722,47
42,15420,14620,83
41,15911,15311,15911
21,18542,17922,113
TotalTime,20803
Throughput,"0,0024034995"
AvgTurnaroundTime,"6950,78"
AvgWaitTime,"6539,00"
AvgResponseTime,"2463,60"
