ID,TurnaroundTime,WaitingTime,ResponseTime
1,70,1,50
3,600,460,580
8,1783,1663,1783
13,3144,2694,2784
14,3265,3255,3265
15,3273,3173,3183
5,4364,4284,4364
17,3299,3289,3299
16,3539,3239,3288
20,3983,3783,3862
19,3956,3915,3945
24,4810,4710,4810
27,5407,5197,5297
9,7460,7200,7460
28,5534,5504,5534
31,6001,5821,5870
30,6146,5886,5915
32,6170,6070,6170
33,6335,6245,6335
34,6510,6199,6279
4,10932,10662,573
42,7735,7695,7725
40,8032,7732,7851
47,9415,9084,9203
12,12724,12524,3139
46,9711,9400,9409
49,9756,9735,9744
48,9686,9606,9636
52,10038,9907,10007
56,10475,10205,10285
21,16169,15869,3908
63,12694,12634,12644
67,13379,13249,13259
66,13512,13302,13382
70,13915,13675,13794
25,18533,18352,4476
69,14040,13899,13929
74,14664,14254,14333
76,15629,15199,15288
75,15805,15625,15745
77,15903,15783,15903
78,16053,15913,15993
81,16564,16554,16564
82,16858,16518,16567
84,16992,16902,16952
87,17494,17334,17363
92,17856,17656,17745
10,27010,26850,1954
96,18630,18520,18530
94,18719,18629,18719
97,18616,18466,18516
99,18942,18742,18862
37,25517,25197,6569
11,28330,27930,2362
45,26459,26119,8854
2,30891,30721,70
0,31123,30963,4695
53,25939,25778,25858
54,26140,25820,10801
72,26793,26603,26793
26,32533,32253,5266
86,26945,26805,26945
91,27036,26866,17324
89,27048,26828,17507
95,27277,27047,27277
44,33503,33232,8331
6,37693,37583,1061
59,32789,32629,11036
58,32845,32785,32845
62,33054,32864,12244
61,33046,32636,12356
64,32833,32773,32833
68,32837,32597,26723
71,32750,32590,32750
7,38982,38581,1346
73,32493,32143,32493
79,32373,32213,32373
83,32065,32005,32065
88,31925,31805,31865
98,31353,31103,31353
18,40676,40546,40676
22,41079,40818,16981
23,40826,40585,4857
29,40587,40327,5623
35,40592,40572,40592
36,40411,40231,6800
38,40211,39971,7151
39,40103,39873,7334
41,39949,39789,25857
43,39714,39573,39713
51,39194,39174,39194
50,39084,38723,9601
55,38727,38577,10488
57,38432,38211,11464
60,38214,37884,11738
65,37790,37530,37770
80,36380,36000,36380
85,35916,35816,26914
90,35301,35151,35261
93,35186,34976,18195
TotalTime,44595
Throughput,"0,0022424039"
AvgTurnaroundTime,"21930,74"
AvgWaitTime,"21738,59"
AvgResponseTime,"14206,55"
